Unit.UnitI,Unit.Taxon,Unit.Quali,Unit.Qua_1,Unit.Qua_2,Unit.Qua_3,Unit.Qua_4,Unit.Qua_5,Unit.Repor,Taxon.ID,Taxon.Scie,Taxon.Finn,Taxon.Engl,Taxon.Swed,Unit.NameA,Unit.Abund,Unit.Inter,Unit.Int_1,Unit.Recor,Unit.Detai,Unit.TypeS,Unit.Det,Unit.Sex,Unit.LifeS,Unit.Nativ,Unit.Breed,Unit.Indiv,Unit.Invas,Unit.Notes,Unit.Annot,Unit.Media,Gathering.,Gatherin_1,Gatherin_2,Gatherin_3,Gatherin_4,Gatherin_5,Gatherin_6,Gatherin_7,Gatherin_8,Gatherin_9,Gatherin10,Gatherin11,Gatherin12,Gatherin13,Gatherin14,Gatherin15,Gatherin16,Gatherin17,Gatherin18,Gatherin19,Gatherin20,Gatherin21,Gatherin22,Gatherin23,Gatherin24,Gatherin25,Gatherin26,Gatherin27,Gatherin28,Gatherin29,Gatherin30,Gatherin31,Gatherin32,Gatherin33,Gatherin34,Gatherin35,Gatherin36,Gatherin37,Gatherin38,Gatherin39,Gatherin40,Gatherin41,Gatherin42,Gatherin43,Gatherin44,Gatherin45,Gatherin46,Gatherin47,Gatherin48,Gatherin49,Gatherin50,Gatherin51,Gatherin52,Gatherin53,Gatherin54,Gatherin55,Gatherin56,Document.D,Document_1,Document_2,Document_3,Document.P,Document.C,Document.Q,Document_4,Document_5,Document_6,Document.S,Document.N,Document.K,Document.F,Document.L,Document_7,Document.M,Document_8,Document_9,B4,B2,B5,B3,B6,B7,B16,B17,B14,B15,B12,B13,B10,B11,B19,B8,B9,B18,B1
http://tun.fi/KE.67/1796805#Unit,SOMMOL,,,,RELIABLE,COLLECTION_QUALITY_RATING,,,http://tun.fi/MX.26419,Somateria mollissima,haahka,Common Eider,ejder,,1,,1,HUMAN_OBSERVATION_UNSPECIFIED,HUMAN_OBSERVATION_HANDLED,FALSE,,FEMALE,ADULT,,TRUE,http://tun.fi/A.AF20F5458554F9623FE5184EDFE7794B,,,0,0,http://tun.fi/KE.67/1796805#Gathering,,,,,,,,,,5/21/1993,5/21/1993,8,,1993-05-21 [8],,60.073949,60.0749,22.820909,22.822587,60.074424,22.821748,6669800,6669900,3267600,3267700,6666999,6667099,267524,267624,666,326,6669,3267,1900,1990,1993,5,21,141,141,100,REPORTED_VALUE,Suomi,Varsinais-Suomi (V),Kemiönsaari,COORDINATES,COORDINATES,COORDINATES,,FINLAND,KEMIÖ,,TURKU-PORI,,,0,http://tun.fi/KE.67/1796805,PUBLIC,NONE,CUSTOM,FALSE,http://tun.fi/HR.48,4,,,,http://tun.fi/KE.67,,,,,,,,0,7880,73,216,24,-86,302,204,101,32,29,619,73,158,-44,136,144,-12,183,53
http://tun.fi/KE.67/1798663#Unit,SOMMOL,,,,RELIABLE,COLLECTION_QUALITY_RATING,,,http://tun.fi/MX.26419,Somateria mollissima,haahka,Common Eider,ejder,,1,,1,HUMAN_OBSERVATION_UNSPECIFIED,HUMAN_OBSERVATION_HANDLED,FALSE,,,JUVENILE,,TRUE,http://tun.fi/A.A1322C8D614A699B6E383FF8E0C37509,,,0,0,http://tun.fi/KE.67/1798663#Gathering,,,,,,,,,,6/23/1996,6/23/1996,10,,1996-06-23 [10],,60.056328,60.057278,22.918409,22.920088,60.056803,22.919249,6667500,6667600,3272900,3273000,6664700,6664800,272822,272922,666,327,6667,3272,1900,1990,1996,6,23,175,175,100,REPORTED_VALUE,Suomi,Varsinais-Suomi (V),Salo,COORDINATES,COORDINATES,COORDINATES,,FINLAND,SÄRKISALO,,TURKU-PORI,,,0,http://tun.fi/KE.67/1798663,PUBLIC,NONE,CUSTOM,FALSE,http://tun.fi/HR.48,4,,,,http://tun.fi/KE.67,,,,,,,,0,7893,73,215,24,-87,302,205,99,31,30,617,73,157,-45,133,145,-13,184,53
http://tun.fi/KE.67/224354#Unit,SOMMOL,,,,RELIABLE,COLLECTION_QUALITY_RATING,,,http://tun.fi/MX.26419,Somateria mollissima,haahka,Common Eider,ejder,,1,,1,HUMAN_OBSERVATION_UNSPECIFIED,HUMAN_OBSERVATION_HANDLED,FALSE,,FEMALE,ADULT,,TRUE,http://tun.fi/A.F4C4D2D07E2D34873CA4AECBECAA65A4,,,0,0,http://tun.fi/KE.67/224354#Gathering,,,,,,,,,,5/21/1993,5/21/1993,12,,1993-05-21 [12],,60.077586,60.078538,22.822246,22.823925,60.078062,22.823085,6670200,6670300,3267700,3267800,6667399,6667499,267624,267724,667,326,6670,3267,1900,1990,1993,5,21,141,141,100,REPORTED_VALUE,Suomi,Varsinais-Suomi (V),Kemiönsaari,COORDINATES,COORDINATES,COORDINATES,,FINLAND,KEMIÖ,,TURKU-PORI,,,0,http://tun.fi/KE.67/224354,PUBLIC,NONE,CUSTOM,FALSE,http://tun.fi/HR.48,4,,,,http://tun.fi/KE.67,,,,,,,,0,7880,73,216,24,-86,302,204,101,32,29,619,73,158,-44,136,144,-12,183,53
http://tun.fi/KE.67/224381#Unit,SOMMOL,,,,RELIABLE,COLLECTION_QUALITY_RATING,,,http://tun.fi/MX.26419,Somateria mollissima,haahka,Common Eider,ejder,,1,,1,HUMAN_OBSERVATION_UNSPECIFIED,HUMAN_OBSERVATION_HANDLED,FALSE,,FEMALE,ADULT,,TRUE,http://tun.fi/A.9C706CF3730B8770938B7A3F6F1947FE,,,0,0,http://tun.fi/KE.67/224381#Gathering,,,,,,,,,,6/10/1995,6/10/1995,13,,1995-06-10 [13],,60.07311,60.074062,22.822813,22.824491,60.073586,22.823652,6669700,6669800,3267700,3267800,6666900,6666999,267624,267724,666,326,6669,3267,1900,1990,1995,6,10,161,161,100,REPORTED_VALUE,Suomi,Varsinais-Suomi (V),Kemiönsaari,COORDINATES,COORDINATES,COORDINATES,,FINLAND,KEMIÖ,,TURKU-PORI,,,0,http://tun.fi/KE.67/224381,PUBLIC,NONE,CUSTOM,FALSE,http://tun.fi/HR.48,4,,,,http://tun.fi/KE.67,,,,,,,,0,7880,73,216,24,-86,302,204,101,32,29,619,73,158,-44,136,144,-12,183,53
http://tun.fi/KE.67/2682199#Unit,SOMMOL,,,,RELIABLE,COLLECTION_QUALITY_RATING,,,http://tun.fi/MX.26419,Somateria mollissima,haahka,Common Eider,ejder,,1,,1,HUMAN_OBSERVATION_UNSPECIFIED,HUMAN_OBSERVATION_HANDLED,FALSE,,FEMALE,ADULT,,TRUE,http://tun.fi/A.BA59839FEDEFD792CD52DD5E469AEE22,,,0,0,http://tun.fi/KE.67/2682199#Gathering,,,,,,,,,,5/9/2004,5/9/2004,,,5/9/2004,,59.829096,59.830043,23.192619,23.194295,59.82957,23.193457,6641300,6641400,3286700,3286800,6638511,6638611,286616,286716,664,328,6641,3286,2000,2000,2004,5,9,130,130,100,REPORTED_VALUE,Suomi,Uusimaa (U),Hanko,COORDINATES,COORDINATES,COORDINATES,,FINLAND,HANKO,,UUSIMAA,FARSKITGRUNDET,,0,http://tun.fi/KE.67/2682199,PUBLIC,NONE,CUSTOM,FALSE,http://tun.fi/HR.48,4,,,,http://tun.fi/KE.67,,,,,9/20/2004,,,0,7893,71,214,23,-86,300,202,94,29,31,601,71,158,-44,125,145,-13,180,54
http://tun.fi/KE.67/3401641#Unit,SOMMOL,,,,RELIABLE,COLLECTION_QUALITY_RATING,,,http://tun.fi/MX.26419,Somateria mollissima,haahka,Common Eider,ejder,,1,,1,HUMAN_OBSERVATION_UNSPECIFIED,HUMAN_OBSERVATION_HANDLED,FALSE,,FEMALE,ADULT,,TRUE,http://tun.fi/A.B60301230F594FCFEB6F827366D2650A,,,0,0,http://tun.fi/KE.67/3401641#Gathering,,,,,,,,,,6/1/2010,6/1/2010,13,,2010-06-01 [13],,63.980855,63.981799,23.521299,23.523226,63.981327,23.522263,7102500,7102600,3329900,3330000,7099526,7099626,329797,329897,710,332,7102,3329,2000,2010,2010,6,1,152,152,100,REPORTED_VALUE,Suomi,Keski-Pohjanmaa (KP),Kokkola,COORDINATES,COORDINATES,COORDINATES,,FINLAND,KOKKOLA,,VAASA,,,0,http://tun.fi/KE.67/3401641,PUBLIC,NONE,CUSTOM,FALSE,http://tun.fi/HR.48,4,,,,http://tun.fi/KE.67,,,,,9/13/2010,,,0,8824,86,206,24,-141,347,191,86,28,30,537,72,140,-88,106,125,-47,175,23
http://tun.fi/KE.67/4269678#Unit,SOMMOL,,,,RELIABLE,COLLECTION_QUALITY_RATING,,,http://tun.fi/MX.26419,Somateria mollissima,haahka,Common Eider,ejder,,1,,1,HUMAN_OBSERVATION_UNSPECIFIED,HUMAN_OBSERVATION_HANDLED,FALSE,,,JUVENILE,,TRUE,http://tun.fi/A.5D8EF0EEB416E06E82082012FEB6E4E7,,,0,0,http://tun.fi/KE.67/4269678#Gathering,,,,,,,,,,5/21/1993,5/21/1993,,,5/21/1993,,60.073949,60.0749,22.820909,22.822587,60.074424,22.821748,6669800,6669900,3267600,3267700,6666999,6667099,267524,267624,666,326,6669,3267,1900,1990,1993,5,21,141,141,100,REPORTED_VALUE,Suomi,Varsinais-Suomi (V),Kemiönsaari,COORDINATES,COORDINATES,COORDINATES,,FINLAND,KEMIÖ,,TURKU-PORI,,,0,http://tun.fi/KE.67/4269678,PUBLIC,NONE,CUSTOM,FALSE,http://tun.fi/HR.48,4,,,,http://tun.fi/KE.67,,,,,,,,0,7880,73,216,24,-86,302,204,101,32,29,619,73,158,-44,136,144,-12,183,53
http://tun.fi/KE.67/4269679#Unit,SOMMOL,,,,RELIABLE,COLLECTION_QUALITY_RATING,,,http://tun.fi/MX.26419,Somateria mollissima,haahka,Common Eider,ejder,,1,,1,HUMAN_OBSERVATION_UNSPECIFIED,HUMAN_OBSERVATION_HANDLED,FALSE,,,JUVENILE,,TRUE,http://tun.fi/A.00AF5F0663B367FA74A1D6AF275B6D40,,,0,0,http://tun.fi/KE.67/4269679#Gathering,,,,,,,,,,5/21/1993,5/21/1993,,,5/21/1993,,60.073949,60.0749,22.820909,22.822587,60.074424,22.821748,6669800,6669900,3267600,3267700,6666999,6667099,267524,267624,666,326,6669,3267,1900,1990,1993,5,21,141,141,100,REPORTED_VALUE,Suomi,Varsinais-Suomi (V),Kemiönsaari,COORDINATES,COORDINATES,COORDINATES,,FINLAND,KEMIÖ,,TURKU-PORI,,,0,http://tun.fi/KE.67/4269679,PUBLIC,NONE,CUSTOM,FALSE,http://tun.fi/HR.48,4,,,,http://tun.fi/KE.67,,,,,,,,0,7880,73,216,24,-86,302,204,101,32,29,619,73,158,-44,136,144,-12,183,53
http://tun.fi/KE.67/8162893#Unit,SOMMOL,,,,,,,,http://tun.fi/MX.26419,Somateria mollissima,haahka,Common Eider,ejder,,1,,1,HUMAN_OBSERVATION_UNSPECIFIED,HUMAN_OBSERVATION_HANDLED,FALSE,,FEMALE,ADULT,,,http://tun.fi/A.D4C3B15AB8A3BF240AD8CB17FAEBACB6,,,0,0,http://tun.fi/KE.67/8162893#Gathering,,,,,,,,,,6/30/1987,6/30/1987,,,6/30/1987,,60.22009,60.221012,25.190888,25.192642,60.220551,25.191765,6680100,6680200,3399900,3400000,6677296,6677396,399771,399871,,,,,1900,1980,1987,6,30,181,181,100,REPORTED_VALUE,,,,COORDINATES,COORDINATES,COORDINATES,,FINLAND,HELSINKI,,UUSIMAA,,,0,http://tun.fi/KE.67/8162893,PUBLIC,NONE,,FALSE,http://tun.fi/HR.48,,,,,http://tun.fi/KE.67,,,,,,,,0,8208,65,208,21,-93,301,221,103,32,31,646,78,157,-54,132,104,-18,195,49
http://tun.fi/KE.8/1085125#7,haahka,,,,NEUTRAL,,,,http://tun.fi/MX.26419,Somateria mollissima,haahka,Common Eider,ejder,,6,,6,HUMAN_OBSERVATION_UNSPECIFIED,HUMAN_OBSERVATION_UNSPECIFIED,FALSE,,,,,,,,,0,0,http://tun.fi/KE.8/1085125#1,,,,,,,,,,4/21/2013,4/21/2013,13,,2013-04-21 [13:30],"Selin, Pentti",60.835763,60.835763,21.252021,21.252021,60.835763,21.252021,6761024,6761025,3187832,3187833,6758186,6758187,187788,187789,676,318,6761,3187,2000,2010,2013,4,21,111,111,1,REPORTED_VALUE,Suomi,Varsinais-Suomi (V),Uusikaupunki,COORDINATES,COORDINATES,COORDINATES,,Suomi,,,,"Uusikaupunki, Korsaari",,0,http://tun.fi/KE.8/1085125,PUBLIC,NONE,,FALSE,http://tun.fi/HR.447,2,,,,http://tun.fi/KE.8,,,,,,,,0,7744,74,208,24,-91,299,200,99,32,29,605,73,150,-48,136,138,32,175,46
http://tun.fi/KE.8/1173081#2,haahka,,,,NEUTRAL,,,,http://tun.fi/MX.26419,Somateria mollissima,haahka,Common Eider,ejder,,1,,1,HUMAN_OBSERVATION_UNSPECIFIED,HUMAN_OBSERVATION_UNSPECIFIED,FALSE,,,,,,,,naaras,0,0,http://tun.fi/KE.8/1173081#1,,,,,,,,,,3/13/1982,3/13/1982,,,3/13/1982,"Aro, Seppo; Kalska, Esa, Mellberg Timo",61.47066,61.47066,23.536633,23.536633,61.47066,23.536633,6822976,6822977,3315616,3315617,6820114,6820115,315520,315521,682,331,6822,3315,1900,1980,1982,3,13,72,72,1,REPORTED_VALUE,Suomi,Etelä-Häme (EH),Nokia,COORDINATES,COORDINATES,COORDINATES,,Suomi,Nokia,,,Nokianvirran suu,,0,http://tun.fi/KE.8/1173081,PUBLIC,NONE,,FALSE,http://tun.fi/HR.447,2,,,,http://tun.fi/KE.8,,,,,,,,0,8752,82,213,24,-124,337,211,88,26,33,583,77,151,-75,108,135,-34,204,38
http://tun.fi/KE.8/1193829#2,haahka,,,,NEUTRAL,,,,http://tun.fi/MX.26419,Somateria mollissima,haahka,Common Eider,ejder,,6,,6,HUMAN_OBSERVATION_UNSPECIFIED,HUMAN_OBSERVATION_UNSPECIFIED,FALSE,,,,,,,,"p, 1k, 5n",0,0,http://tun.fi/KE.8/1193829#1,,,,,,,,,,5/17/1984,5/17/1984,,,5/17/1984,"Puumalainen, Kari",60.941747,60.941747,26.103137,26.103137,60.941747,26.103137,6759467,6759468,3451555,3451556,6756631,6756632,451405,451406,675,345,6759,3451,1900,1980,1984,5,17,138,138,1,REPORTED_VALUE,Suomi,Etelä-Häme (EH),Iitti,COORDINATES,COORDINATES,COORDINATES,,Suomi,Iitti,,,"Säyhtee, Selkojärvi",,0,http://tun.fi/KE.8/1193829,PUBLIC,NONE,,FALSE,http://tun.fi/HR.447,2,,,,http://tun.fi/KE.8,,,,,,,,0,8627,73,214,22,-110,324,219,102,32,30,633,81,155,-68,126,138,-26,199,42
http://tun.fi/KE.8/1197881#3,haahka,,,,NEUTRAL,,,,http://tun.fi/MX.26419,Somateria mollissima,haahka,Common Eider,ejder,,15,,15,HUMAN_OBSERVATION_UNSPECIFIED,HUMAN_OBSERVATION_UNSPECIFIED,FALSE,,,,,,,,"8/7 uimassa, lisäksi taivaalla haahkamaisia jonoja muuttolennossa",0,0,http://tun.fi/KE.8/1197881#1,,,,,,,,,,4/3/2017,4/3/2017,,,4/3/2017,"Kallio, Seppo",60.427921,60.427921,22.200247,22.200247,60.427921,22.200247,6711516,6711517,3235968,3235969,6708699,6708700,235904,235905,671,323,6711,3235,2000,2010,2017,4,3,93,93,1,REPORTED_VALUE,Suomi,Varsinais-Suomi (V),Turku,COORDINATES,COORDINATES,COORDINATES,,Suomi,,,,"Turku, Pikisaari, Fregattikatu 3",,0,http://tun.fi/KE.8/1197881,PUBLIC,NONE,,TRUE,http://tun.fi/HR.447,2,,,,http://tun.fi/KE.8,,,,,,,,0,7927,75,216,24,-88,304,211,110,34,27,667,77,157,-46,161,107,38,189,52
http://tun.fi/KE.8/1198009#2,haahka,,,,NEUTRAL,,,,http://tun.fi/MX.26419,Somateria mollissima,haahka,Common Eider,ejder,,25,,25,HUMAN_OBSERVATION_UNSPECIFIED,HUMAN_OBSERVATION_UNSPECIFIED,FALSE,,,,,,,,"16/9 uimassa ja rannalla. Koiraiden huuto kuuluu pihalle, vaikka tontti ei ole rannalla.",0,0,http://tun.fi/KE.8/1198009#1,,,,,,,,,,4/5/2017,4/5/2017,,,4/5/2017,"Kallio, Seppo",60.427921,60.427921,22.200247,22.200247,60.427921,22.200247,6711516,6711517,3235968,3235969,6708699,6708700,235904,235905,671,323,6711,3235,2000,2010,2017,4,5,95,95,1,REPORTED_VALUE,Suomi,Varsinais-Suomi (V),Turku,COORDINATES,COORDINATES,COORDINATES,,Suomi,,,,"Turku, Pikisaari, Fregattikatu 3",,0,http://tun.fi/KE.8/1198009,PUBLIC,NONE,,TRUE,http://tun.fi/HR.447,2,,,,http://tun.fi/KE.8,,,,,,,,0,7927,75,216,24,-88,304,211,110,34,27,667,77,157,-46,161,107,38,189,52
http://tun.fi/KE.8/1198608#9,haahka,,,,NEUTRAL,,,,http://tun.fi/MX.26419,Somateria mollissima,haahka,Common Eider,ejder,,7,,7,HUMAN_OBSERVATION_UNSPECIFIED,HUMAN_OBSERVATION_UNSPECIFIED,FALSE,,,,,,,,1-Jun,0,0,http://tun.fi/KE.8/1198608#1,,,,,,,,,,4/18/2017,4/18/2017,,,4/18/2017,"Kallio, Seppo",60.427921,60.427921,22.200247,22.200247,60.427921,22.200247,6711516,6711517,3235968,3235969,6708699,6708700,235904,235905,671,323,6711,3235,2000,2010,2017,4,18,108,108,1,REPORTED_VALUE,Suomi,Varsinais-Suomi (V),Turku,COORDINATES,COORDINATES,COORDINATES,,Suomi,,,,"Turku, Pikisaari, Fregattikatu 3",,0,http://tun.fi/KE.8/1198608,PUBLIC,NONE,,FALSE,http://tun.fi/HR.447,2,,,,http://tun.fi/KE.8,,,,,,,,0,7927,75,216,24,-88,304,211,110,34,27,667,77,157,-46,161,107,38,189,52
